date,type,volume,position_id,price,commission,swap,profit,fee,symbol
03-10-2023,0,0.3,628505261,181.022,-0.83,0,-0.76,0,GBPJPY
03-10-2023,0,0.05,628487039,1824.01,-0.14,0,-9.59,0,XAUUSD
03-10-2023,1,0.05,628473882,1820.08,-0.14,0,0,0,XAUUSD
03-10-2023,1,0.05,628474616,1821.68,-0.14,0,0,0,XAUUSD
03-10-2023,0,0.05,628474616,1822.19,-0.14,0,-2.44,0,XAUUSD
03-10-2023,0,0.05,628473882,1822.23,-0.14,0,-10.27,0,XAUUSD
03-10-2023,1,0.05,628484574,1821.19,-0.14,0,0,0,XAUUSD
03-10-2023,1,0.05,628491065,1823.02,-0.14,0,0,0,XAUUSD
03-10-2023,0,0.3,628491550,181.029,-0.83,0,0,0,GBPJPY
03-10-2023,0,0.05,628484574,1823.97,-0.14,0,-13.26,0,XAUUSD
03-10-2023,1,0.05,628487039,1822,-0.14,0,0,0,XAUUSD
03-10-2023,0,0.05,628491065,1823.94,-0.14,0,-4.39,0,XAUUSD
03-10-2023,0,0.3,628493839,1826.69,-0.83,0,0,0,XAUUSD
03-10-2023,0,0.3,628493937,1826.63,-0.83,0,0,0,XAUUSD
03-10-2023,1,0.3,628493937,1827.32,-0.83,0,19.74,0,XAUUSD
03-10-2023,1,0.3,628493839,1827.32,-0.83,0,18.02,0,XAUUSD
03-10-2023,0,0.3,628497063,1828.35,-0.83,0,0,0,XAUUSD
03-10-2023,1,0.3,628497063,1828.86,-0.83,0,14.58,0,XAUUSD
03-10-2023,1,0.3,628505261,181.018,-0.83,0,0,0,GBPJPY
03-10-2023,1,0.3,628491550,180.995,-0.83,0,-6.5,0,GBPJPY
02-10-2023,0,0.1,628292240,1834.31,-0.28,0,0,0,XAUUSD
02-10-2023,0,0.05,628278317,1833.15,-0.14,0,0,0,XAUUSD
02-10-2023,1,0.05,628278317,1834.04,-0.14,0,4.22,0,XAUUSD
02-10-2023,0,0.05,628291832,1835.31,-0.14,0,0,0,XAUUSD
02-10-2023,0,0.1,628292087,1834.71,-0.28,0,0,0,XAUUSD
02-10-2023,1,0.07,628292240,1835.45,-0.19,0,7.57,0,XAUUSD
02-10-2023,1,0.05,628290408,1835.24,-0.14,0,-1.94,0,XAUUSD
02-10-2023,1,0.05,628291832,1835.24,-0.14,0,-0.33,0,XAUUSD
02-10-2023,1,0.1,628292087,1835.24,-0.28,0,5.03,0,XAUUSD
02-10-2023,1,0.05,628264346,1838.69,-0.14,0,0,0,XAUUSD
02-10-2023,0,0.05,628264346,1837.58,-0.14,0,5.26,0,XAUUSD
02-10-2023,0,0.05,628221106,182.681,-0.14,0,0,0,GBPJPY
02-10-2023,0,0.05,628230584,1843.19,-0.14,0,2.13,0,XAUUSD
02-10-2023,0,0.05,628227970,1843.11,-0.14,0,3.54,0,XAUUSD
02-10-2023,1,0.05,628230584,1843.64,-0.14,0,0,0,XAUUSD
02-10-2023,0,0.05,628229361,1844.35,-0.14,0,-5.34,0,XAUUSD
02-10-2023,1,0.05,628229361,1843.22,-0.14,0,0,0,XAUUSD
02-10-2023,1,0.05,628227970,1843.86,-0.14,0,0,0,XAUUSD
02-10-2023,1,0.05,628221106,182.737,-0.14,0,1.77,0,GBPJPY
02-10-2023,1,0.05,628222377,182.74,-0.14,0,-1.04,0,GBPJPY
02-10-2023,0,0.05,628222377,182.773,-0.14,0,0,0,GBPJPY
02-10-2023,0,0.05,628306457,182.015,-0.14,0,0,0,GBPJPY
02-10-2023,1,0.03,628292240,1834.5,-0.08,0,0.54,0,XAUUSD
02-10-2023,0,0.05,628290408,1835.65,-0.14,0,0,0,XAUUSD
02-10-2023,1,0.05,628306457,181.998,-0.14,0,-0.54,0,GBPJPY
02-10-2023,0,0.1,628375618,1830.26,-0.28,0,-3.24,0,XAUUSD
02-10-2023,1,0.1,628338659,1836.96,-0.28,0,0,0,XAUUSD
02-10-2023,0,0.3,628396098,1831.49,-0.83,0,-1.72,0,XAUUSD
02-10-2023,1,0.3,628396098,1831.43,-0.83,0,0,0,XAUUSD
02-10-2023,0,0.3,628378829,181.673,-0.83,0,4.01,0,GBPJPY
02-10-2023,1,0.3,628378829,181.694,-0.83,0,0,0,GBPJPY
02-10-2023,0,0.1,628378674,1828.16,-0.28,0,-0.19,0,XAUUSD
02-10-2023,1,0.1,628378674,1828.14,-0.28,0,0,0,XAUUSD
02-10-2023,1,0.05,628378081,181.64,-0.14,0,0,0,GBPJPY
02-10-2023,0,0.1,628376811,1829.27,-0.28,0,1.43,0,XAUUSD
02-10-2023,1,0.1,628376811,1829.42,-0.28,0,0,0,XAUUSD
02-10-2023,0,0.05,628378081,181.684,-0.14,0,-1.4,0,GBPJPY
02-10-2023,1,0.1,628375618,1829.92,-0.28,0,0,0,XAUUSD
02-10-2023,0,0.1,628374972,1832.64,-0.28,0,0,0,XAUUSD
02-10-2023,0,0.05,628367123,181.685,-0.14,0,1.11,0,GBPJPY
02-10-2023,1,0.05,628367123,181.72,-0.14,0,0,0,GBPJPY
02-10-2023,1,0.1,628359108,1832.82,-0.28,0,7.23,0,XAUUSD
02-10-2023,0,0.1,628359108,1832.06,-0.28,0,0,0,XAUUSD
02-10-2023,0,0.05,628352299,181.837,-0.14,0,0.19,0,GBPJPY
02-10-2023,1,0.05,628352299,181.843,-0.14,0,0,0,GBPJPY
02-10-2023,1,0.1,628374972,1831.76,-0.28,0,-8.37,0,XAUUSD
02-10-2023,0,0.1,628338659,1836.81,-0.28,0,1.43,0,XAUUSD
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
