ticket,order,date,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
611023834,629653250,2023-10-11,2023-10-11 14:37:10,1697035030631,0,1,0,629653097,0,0.1,1872.21,-0.28,0.0,-1.13,0.0,XAUUSD,,2091309825
610988296,629616933,2023-10-11,2023-10-11 10:42:25,1697020945043,1,1,0,629615868,0,0.1,1867.0,-0.28,0.0,13.28,0.0,XAUUSD,,2090882297
610979793,629608098,2023-10-11,2023-10-11 10:02:13,1697018533908,0,0,0,629608098,0,0.01,1864.68,-0.03,0.0,0.0,0.0,XAUUSD,,2090784844
610980536,629608849,2023-10-11,2023-10-11 10:04:01,1697018641251,1,1,0,629608098,0,0.01,1864.08,-0.03,0.0,-0.57,0.0,XAUUSD,,2090794235
610981009,629609340,2023-10-11,2023-10-11 10:05:45,1697018745735,0,1,100,629608893,3,0.05,1863.77,-0.14,0.0,0.61,0.0,XAUUSD,,2090800756
610981096,629609437,2023-10-11,2023-10-11 10:06:13,1697018773042,0,1,100,629608893,3,0.05,1863.67,-0.14,0.0,1.08,0.0,XAUUSD,,2090801657
610986978,629615651,2023-10-11,2023-10-11 10:40:38,1697020838250,0,0,0,629615651,0,0.1,1865.33,-0.28,0.0,0.0,0.0,XAUUSD,,2090863785
610987193,629615863,2023-10-11,2023-10-11 10:41:09,1697020869401,0,0,0,629615863,0,0.1,1865.55,-0.28,0.0,0.0,0.0,XAUUSD,,2090867377
610987198,629615868,2023-10-11,2023-10-11 10:41:10,1697020870904,0,0,0,629615868,0,0.1,1865.59,-0.28,0.0,0.0,0.0,XAUUSD,,2090867453
610988281,629616917,2023-10-11,2023-10-11 10:42:24,1697020944542,1,1,0,629615863,0,0.1,1867.02,-0.28,0.0,13.85,0.0,XAUUSD,,2090882046
610980577,629608893,2023-10-11,2023-10-11 10:04:12,1697018652031,1,0,0,629608893,0,0.1,1863.9,-0.28,0.0,0.0,0.0,XAUUSD,,2090794743
610988451,629617088,2023-10-11,2023-10-11 10:42:37,1697020957654,1,1,0,629615651,0,0.07,1866.9,-0.19,0.0,10.35,0.0,XAUUSD,,2090884155
610994792,629624117,2023-10-11,2023-10-11 11:00:07,1697022007084,1,1,0,629615651,0,0.01,1867.68,-0.03,0.0,2.22,0.0,XAUUSD,,2090964786
610996191,629625452,2023-10-11,2023-10-11 11:05:48,1697022348783,0,0,0,629625452,0,0.1,1868.45,-0.28,0.0,0.0,0.0,XAUUSD,,2090982126
610996585,629625848,2023-10-11,2023-10-11 11:07:03,1697022423986,1,1,0,629625452,0,0.1,1867.49,-0.28,0.0,-9.06,0.0,XAUUSD,,2090987003
611002481,629630954,2023-10-11,2023-10-11 11:42:32,1697024552529,0,0,0,629630954,0,0.1,1868.77,-0.28,0.0,0.0,0.0,XAUUSD,,2091048734
611002750,629631230,2023-10-11,2023-10-11 11:44:47,1697024687325,1,1,0,629630954,0,0.1,1869.16,-0.28,0.0,3.68,0.0,XAUUSD,,2091052033
611023682,629653097,2023-10-11,2023-10-11 14:36:35,1697034995465,1,0,0,629653097,0,0.1,1872.09,-0.28,0.0,0.0,0.0,XAUUSD,,2091306969
610989421,629618048,2023-10-11,2023-10-11 10:43:23,1697021003152,1,1,0,629615651,0,0.02,1867.65,-0.06,0.0,4.37,0.0,XAUUSD,,2090895869
610819354,629435417,2023-10-10,2023-10-10 10:13:02,1696932782105,1,1,100,629433587,3,0.01,181.96,-0.03,0.0,0.1,0.0,GBPJPY,,2088878507
610819083,629435122,2023-10-10,2023-10-10 10:11:24,1696932684664,1,1,100,629432535,3,0.02,181.979,-0.06,0.0,-0.23,0.0,GBPJPY,,2088875793
610819126,629435168,2023-10-10,2023-10-10 10:11:44,1696932704088,1,1,100,629433587,3,0.02,181.999,-0.06,0.0,0.7,0.0,GBPJPY,,2088876236
610819128,629435170,2023-10-10,2023-10-10 10:11:44,1696932704244,1,1,100,629433321,3,0.01,181.999,-0.03,0.0,0.2,0.0,GBPJPY,,2088876241
610819130,629435172,2023-10-10,2023-10-10 10:11:44,1696932704557,1,1,100,629432831,3,0.01,181.999,-0.03,0.0,0.09,0.0,GBPJPY,,2088876252
610819131,629435174,2023-10-10,2023-10-10 10:11:44,1696932704712,1,1,100,629432582,3,0.01,181.999,-0.03,0.0,0.09,0.0,GBPJPY,,2088876261
610819132,629435175,2023-10-10,2023-10-10 10:11:44,1696932704868,1,1,100,629432535,3,0.01,181.997,-0.03,0.0,0.0,0.0,GBPJPY,,2088876262
610819360,629435421,2023-10-10,2023-10-10 10:13:02,1696932782738,1,1,100,629432582,3,0.01,181.967,-0.03,0.0,-0.11,0.0,GBPJPY,,2088878523
610819357,629435418,2023-10-10,2023-10-10 10:13:02,1696932782266,1,1,100,629433321,3,0.01,181.96,-0.03,0.0,-0.05,0.0,GBPJPY,,2088878513
610819358,629435419,2023-10-10,2023-10-10 10:13:02,1696932782423,1,1,100,629433063,3,0.01,181.963,-0.03,0.0,-0.06,0.0,GBPJPY,,2088878514
610819359,629435420,2023-10-10,2023-10-10 10:13:02,1696932782579,1,1,100,629432831,3,0.01,181.965,-0.03,0.0,-0.13,0.0,GBPJPY,,2088878518
610819361,629435422,2023-10-10,2023-10-10 10:13:02,1696932782896,1,1,100,629432535,3,0.01,181.967,-0.03,0.0,-0.19,0.0,GBPJPY,,2088878526
610819378,629435440,2023-10-10,2023-10-10 10:13:11,1696932791997,1,1,100,629433587,3,0.01,181.957,-0.03,0.0,0.08,0.0,GBPJPY,,2088878695
610819388,629435453,2023-10-10,2023-10-10 10:13:20,1696932800075,1,1,100,629433587,3,0.01,181.966,-0.03,0.0,0.14,0.0,GBPJPY,,2088878802
610819080,629435119,2023-10-10,2023-10-10 10:11:24,1696932684346,1,1,100,629432831,3,0.02,181.98,-0.06,0.0,-0.06,0.0,GBPJPY,,2088875785
610819082,629435121,2023-10-10,2023-10-10 10:11:24,1696932684507,1,1,100,629432582,3,0.02,181.979,-0.06,0.0,-0.08,0.0,GBPJPY,,2088875790
610819040,629435079,2023-10-10,2023-10-10 10:11:17,1696932677923,1,1,100,629433587,3,0.1,181.996,-0.28,0.0,3.3,0.0,GBPJPY,,2088875424
610819079,629435118,2023-10-10,2023-10-10 10:11:24,1696932684189,1,1,100,629433063,3,0.02,181.98,-0.06,0.0,0.09,0.0,GBPJPY,,2088875782
610819078,629435117,2023-10-10,2023-10-10 10:11:24,1696932684030,1,1,100,629433321,3,0.02,181.982,-0.06,0.0,0.18,0.0,GBPJPY,,2088875779
610819076,629435114,2023-10-10,2023-10-10 10:11:23,1696932683872,1,1,100,629433587,3,0.05,181.982,-0.14,0.0,1.21,0.0,GBPJPY,,2088875772
610819052,629435091,2023-10-10,2023-10-10 10:11:18,1696932678713,1,1,100,629432535,3,0.05,181.998,-0.14,0.0,0.03,0.0,GBPJPY,,2088875461
610819050,629435090,2023-10-10,2023-10-10 10:11:18,1696932678552,1,1,100,629432582,3,0.05,181.999,-0.14,0.0,0.44,0.0,GBPJPY,,2088875454
610819048,629435087,2023-10-10,2023-10-10 10:11:18,1696932678392,1,1,100,629432831,3,0.05,181.996,-0.14,0.0,0.35,0.0,GBPJPY,,2088875442
610819046,629435085,2023-10-10,2023-10-10 10:11:18,1696932678237,1,1,100,629433063,3,0.05,181.995,-0.14,0.0,0.7,0.0,GBPJPY,,2088875434
610819041,629435084,2023-10-10,2023-10-10 10:11:18,1696932678080,1,1,100,629433321,3,0.05,181.995,-0.14,0.0,0.86,0.0,GBPJPY,,2088875430
610819391,629435456,2023-10-10,2023-10-10 10:13:20,1696932800392,1,1,100,629433063,3,0.01,181.969,-0.03,0.0,-0.03,0.0,GBPJPY,,2088878811
610817543,629433587,2023-10-10,2023-10-10 10:04:33,1696932273971,0,0,0,629433587,0,0.2,181.944,-0.55,0.0,0.0,0.0,GBPJPY,,2088860981
610817343,629433321,2023-10-10,2023-10-10 10:03:30,1696932210728,0,0,0,629433321,0,0.1,181.968,-0.28,0.0,0.0,0.0,GBPJPY,,2088859320
610817095,629433063,2023-10-10,2023-10-10 10:02:42,1696932162773,0,0,0,629433063,0,0.1,181.973,-0.28,0.0,0.0,0.0,GBPJPY,,2088856937
610816857,629432831,2023-10-10,2023-10-10 10:01:40,1696932100897,0,0,0,629432831,0,0.1,181.985,-0.28,0.0,0.0,0.0,GBPJPY,,2088854391
610816630,629432582,2023-10-10,2023-10-10 10:00:47,1696932047984,0,0,0,629432582,0,0.1,181.985,-0.28,0.0,0.0,0.0,GBPJPY,,2088852539
610816587,629432535,2023-10-10,2023-10-10 10:00:38,1696932038643,0,0,0,629432535,0,0.1,181.997,-0.28,0.0,0.0,0.0,GBPJPY,,2088852118
610819390,629435455,2023-10-10,2023-10-10 10:13:20,1696932800232,1,1,100,629433321,3,0.01,181.968,-0.03,0.0,0.0,0.0,GBPJPY,,2088878807
610819129,629435171,2023-10-10,2023-10-10 10:11:44,1696932704399,1,1,100,629433063,3,0.01,181.999,-0.03,0.0,0.17,0.0,GBPJPY,,2088876248
