date,type,volume,position_id,price,commission,swap,profit,fee,symbol
2023-10-10,1,0.03,629451089,1858.46,-0.08,0.0,0.31,0.0,XAUUSD
2023-10-10,1,0.01,629433587,181.966,-0.03,0.0,0.14,0.0,GBPJPY
2023-10-10,1,0.01,629432535,181.967,-0.03,0.0,-0.19,0.0,GBPJPY
2023-10-10,1,0.01,629432582,181.967,-0.03,0.0,-0.11,0.0,GBPJPY
2023-10-10,1,0.01,629432831,181.965,-0.03,0.0,-0.13,0.0,GBPJPY
2023-10-10,1,0.01,629433063,181.963,-0.03,0.0,-0.06,0.0,GBPJPY
2023-10-10,1,0.01,629433321,181.96,-0.03,0.0,-0.05,0.0,GBPJPY
2023-10-10,1,0.01,629433587,181.96,-0.03,0.0,0.1,0.0,GBPJPY
2023-10-10,1,0.01,629432535,181.997,-0.03,0.0,0.0,0.0,GBPJPY
2023-10-10,1,0.01,629432582,181.999,-0.03,0.0,0.09,0.0,GBPJPY
2023-10-10,1,0.01,629432831,181.999,-0.03,0.0,0.09,0.0,GBPJPY
2023-10-10,1,0.01,629433063,181.999,-0.03,0.0,0.17,0.0,GBPJPY
2023-10-10,1,0.01,629433321,181.999,-0.03,0.0,0.2,0.0,GBPJPY
2023-10-10,1,0.02,629433587,181.999,-0.06,0.0,0.7,0.0,GBPJPY
2023-10-10,1,0.02,629432535,181.979,-0.06,0.0,-0.23,0.0,GBPJPY
2023-10-10,1,0.02,629432582,181.979,-0.06,0.0,-0.08,0.0,GBPJPY
2023-10-10,1,0.02,629432831,181.98,-0.06,0.0,-0.06,0.0,GBPJPY
2023-10-10,1,0.02,629433063,181.98,-0.06,0.0,0.09,0.0,GBPJPY
2023-10-10,1,0.02,629433321,181.982,-0.06,0.0,0.18,0.0,GBPJPY
2023-10-10,1,0.05,629433587,181.982,-0.14,0.0,1.21,0.0,GBPJPY
2023-10-10,1,0.05,629432535,181.998,-0.14,0.0,0.03,0.0,GBPJPY
2023-10-10,1,0.05,629432582,181.999,-0.14,0.0,0.44,0.0,GBPJPY
2023-10-10,1,0.05,629432831,181.996,-0.14,0.0,0.35,0.0,GBPJPY
2023-10-10,1,0.05,629433321,181.995,-0.14,0.0,0.86,0.0,GBPJPY
2023-10-10,1,0.1,629433587,181.996,-0.28,0.0,3.3,0.0,GBPJPY
2023-10-10,0,0.2,629433587,181.944,-0.55,0.0,0.0,0.0,GBPJPY
2023-10-10,0,0.1,629433321,181.968,-0.28,0.0,0.0,0.0,GBPJPY
2023-10-10,0,0.1,629433063,181.973,-0.28,0.0,0.0,0.0,GBPJPY
2023-10-10,0,0.1,629432831,181.985,-0.28,0.0,0.0,0.0,GBPJPY
2023-10-10,0,0.1,629432582,181.985,-0.28,0.0,0.0,0.0,GBPJPY
2023-10-10,0,0.1,629432535,181.997,-0.28,0.0,0.0,0.0,GBPJPY
2023-10-10,1,0.01,629433587,181.957,-0.03,0.0,0.08,0.0,GBPJPY
2023-10-10,1,0.05,629433063,181.995,-0.14,0.0,0.7,0.0,GBPJPY
2023-10-10,1,0.01,629433321,181.968,-0.03,0.0,0.0,0.0,GBPJPY
2023-10-10,1,0.05,629438970,1856.59,-0.14,0.0,0.14,0.0,XAUUSD
2023-10-10,1,0.01,629433063,181.969,-0.03,0.0,-0.03,0.0,GBPJPY
2023-10-10,1,0.03,629454048,1858.45,-0.08,0.0,1.41,0.0,XAUUSD
2023-10-10,0,0.03,629454048,1857.95,-0.08,0.0,0.0,0.0,XAUUSD
2023-10-10,0,0.03,629451089,1858.35,-0.08,0.0,0.0,0.0,XAUUSD
2023-10-10,1,0.03,629447580,1856.58,-0.08,0.0,-2.01,0.0,XAUUSD
2023-10-10,1,0.03,629445098,1856.76,-0.08,0.0,-1.19,0.0,XAUUSD
2023-10-10,1,0.03,629444059,1856.76,-0.08,0.0,-1.8399999999999999,0.0,XAUUSD
2023-10-10,1,0.03,629443059,1856.74,-0.08,0.0,-2.04,0.0,XAUUSD
2023-10-10,1,0.2,629445960,1858.08,-0.55,0.0,34.96,0.0,XAUUSD
2023-10-10,0,0.2,629445960,1856.23,-0.55,0.0,0.0,0.0,XAUUSD
2023-10-10,0,0.03,629445098,1857.18,-0.08,0.0,0.0,0.0,XAUUSD
2023-10-10,0,0.03,629444059,1857.41,-0.08,0.0,0.0,0.0,XAUUSD
2023-10-10,0,0.03,629443059,1857.46,-0.08,0.0,0.0,0.0,XAUUSD
2023-10-10,0,0.03,629447580,1857.29,-0.08,0.0,0.0,0.0,XAUUSD
2023-10-10,1,0.05,629438970,1857.7,-0.14,0.0,5.39,0.0,XAUUSD
2023-10-10,1,0.02,629437238,1856.7,-0.06,0.0,0.25,0.0,XAUUSD
2023-10-10,1,0.01,629432831,181.969,-0.03,0.0,-0.1,0.0,GBPJPY
